ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight(kg),Length(cm),Width(cm),Height(cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
277874345,simple,7694863176791,Đèn Pha LED Ô Tô - Xe Máy H4 36W: Siêu Sáng Với 3 Nhiệt Màu AUTO Tiết Kiệm Năng Lượng Loại Tốt,1,0,visible,,"ĐẶC BIỆT : Không cần độ chế , cắt dây , chi cẩn cắm vào thay bóng như đèn zin của xeĐèn led này có thể sử dụng cả điện máy và điện bình ắc quyNên đối với các bạn lắp cho xe máy mua về tháo đèn zin ...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,295000,295000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/35/5b/59/dbccc0e18809b04c5ba5861fab13b2d0.jpg,,,,,,,,,0
276853295,simple,9082132007232,"Hạt giống Xà Lách các loại, nảy mầm tốt, dễ trồng, nhanh thu hoạch, cây khỏe - Hạt giống Rạng Đông",1,0,visible,,HẠT GIỐNG RẠNG ĐÔNG – GIỐNG TỐT CHO MÙA BỘI THU.      HƯỚNG DẪN TRỒNG CƠ BẢN   Cách 1: Ngâm hạt giống với nước ấm 1 giờ trước khi ủ.   Ủ hạt: làm ẩm khăn sau đó cho hạt vào ủ luôn. Hạt cải...,,2025-12-03,taxable,,1,,,no,no,,,,,1,,11900,11900,,,,https://salt.tikicdn.com/cache/750x750/ts/product/23/a1/e7/26443ed51af75167c373d48e695e2427.jpg,,,,,,,,,0
,simple,,,1,0,visible,,,,,taxable,,,,,no,no,,,,,1,,,,,,,,,,,,,,,,0
276950025,simple,2247601019617,Bộ hộp cơm giữ nhiệt LocknLock Tower Vacuum Lunch Box - LHC8058 - Hàng chính hãng,1,0,visible,,"Nắp vặn với hệ thống Interlock: Dễ dàng lưu trữ đồ ăn, vận chuyển nhiều hộp cùng lúc và tiết kiệm không gian.Nắp vặn có vòng đệm Silicone: Đảm bảo độ kín, chống rò rỉ.Tay cầm tiện lợi: Tay cầm PTE c...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,320000,718000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/41/26/05/edfbdd3ba218e9a4ce2ca05d6cb0c45f.jpg,,,,,,,,,0
277860856,simple,9194721960038,Thiết Bị Tiết Kiệm Điện Thông Minh Nhật Bản – Bí Kíp Vàng Cho Mọi Gia Đình Việt,1,0,visible,,Thiết Bị Tiết Kiệm Điện Nhật Bản Cao Cấp – Cách Giảm Điện Hiệu Quả 20% Mà Bạn Nên Biết!Bạn đang đau đầu vì tiền điện mỗi tháng tăng cao mà không biết nguyên nhân? Hãy để thiết bị tiết kiệm điện thô...,,2025-12-03,taxable,,1,,,no,no,,,,,1,,199000,199000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/22/9c/7e/e223aaed0f88c94432195c173b6f55fb.jpg,,,,,,,,,0
276666250,simple,1330109746205,"Khăn giấy cuộn đa năng lau bếp bát đĩa đồ gia dụng kích thước 20x25cm thấm hút tốt, dai khó rách, có thể tái sử dụng",1,0,visible,,"Khăn giấy cuộn đa năng lau bếp bát đĩa đồ gia dụng kích thước 20x25cm thấm hút tốt, dai khó rách, có thể tái sử dụng  Thông Tin Sản Phẩm: Khăn giấy cuộn đa năng 40-50 tờKích thước sản phẩm: 20x2...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,22000,33000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/8a/a5/39/090298cfb3c092cfab7b29751e8d3ab0.jpg,,,,,,,,,0
276409127,simple,9774799581980,Giá Đựng Sách Để Bàn Deli - Kệ Chia 4 Ngăn Văn Phòng Học Sinh Sinh Viên - Chặn Sách Nhiều Ngăn Giúp Sắp Xếp Tài Liệu,1,0,visible,,"TÍNH NĂNG SẢN PHẨM:️Giúp lưu trữ sách vở tài liệu, tiết kiệm không gian bàn học bàn làm việc️ Dễ dàng lưu trữ, tiện lợi THÔNG TIN SẢN PHẨM:Tên sản phẩm: Giá chặn sách DeliMã sản phẩm: TB514Màu ...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,89000,171000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/12/5d/ef/9fe9615856c2de231928214b9c55cd58.png,,,,,,,,,0
276463998,simple,3357710749518,COMBO 3 Bóng Giặt Silicon Cầu Gai Chống Nhăn Quần Áo Quả Banh To 5.5CM Hamart Giặt Sạch Vượt Trội,1,0,visible,,"Bóng Giặt Silicon Cầu Gai Chống Nhăn Quần Áo Quả Banh To 5.5CM Hamart Giặt Sạch Vượt Trội1. ĐẶC ĐIỂM NỔI BẬT:- Vật liệu silicone cao cấp với đường kính bóng lớn 5.5 cm, sử dụng lâu dài- Chống nhă...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,45000,84000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/e9/e2/d7/539016156758bb5c91319e37e5e3dcf4.jpg,,,,,,,,,0
276440259,simple,6025853640672,"Bình Gas Bơm Bật Lửa Bluesky 5 Đầu Bơm Dung Tích 150gr/275ml Siêu Tiện Dụng, Bình Bơm Gas Bật Lửa Hàn Quốc",1,0,visible,,"- Đối với những loại bật lửa đắt tiền bạn nên sử dụng những loại Gas tốt không tạp chất để đảm bảo cho bật lửa và cho chính bạn. Bình gas cho bật lửa sau khi bơm, nạp gas vào hộp quẹt, bật lửa rất nhạ...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,65000,65000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/9d/82/ed/3a840f0ed317862fe5e8626311aed2bd.jpg,,,,,,,,,0
277470440,simple,2690621485997,Bình Nước Thuỷ Tinh Kèm Nắp Pha Trà Thông Minh Cao Cấp Có Lọc Trà Inox Sang Trọng Tặng Túi Chống Nóng Quai Đeo,1,0,visible,,"Bình nước thủy tinh 750,1000,1200,1500ml tiện lợi, có lọc bã trà, tặng kèm túi vải cách nhiệt*Lưu ý: Phần Lọc trà dài ngắn theo đợt hàngĐẢM BẢO Bình nước thủy tinh ĐẸP HƠN - TRONG HƠN, MƯỢT HƠN VÀ K...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,75000,89000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/4b/ef/b3/834a8823e7dc56785b86aee7c345d58b.jpg,,,,,,,,,0
276025123,simple,7855665961646,Chảo inox 3 lớp nguyên khối Elmich Trimax EL 3846OL16 size 16cm,1,0,visible,,Đặc điểm sản phẩmCông nghệ mới 3 lớp liền thân bền bỉ thách thức thời gian: Cấu tạo 3 lớp liền thân dày dặn – sự kết hợp hoàn hảo của 3 lớp kim loại để tối ưu hiệu quả của từng loại chất liệuLớp tr...,,2025-12-03,taxable,,1,,,no,no,,,,,1,,366000,650000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/f3/c5/2b/2c6d3ca24673c167cbb8710bc5bf656c.jpg,,,,,,,,,0
277835691,simple,6733441872832,Nồi phủ sứ chống dính Elmich Olive Classic EL- 5535OV - Hàng chính hãng,1,0,visible,,"Câu Chuyện Sản Phẩm Olive – biểu tượng của sự trường tồn và sức khỏe, luôn gắn liền với chiều dài lịch sử và truyền thống văn hóa của người dân Địa Trung Hải. Qua hàng thế kỷ, olive không chỉ là m...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,304000,500000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/1c/06/8f/4512f897a66a19e2e3f5b1a12c3686ff.jpg,,,,,,,,,0
275929239,simple,4913952912515,Bình nước thủy tinh Elmich EL-8350T052 dung tích 520ml,1,0,visible,,"Đặc điểm nổi bậtThiết kế thời trang, hiện đại Chất liệu thủy tinh cao cấp, tuyệt đối an toàn với sức khỏe Dung tích lớn đáp ứng nhu cầu sử dụng Nắp đóng/mở dễ dàng, chống tràn tuyệt đối Miệng bì...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,269000,310000,,,,https://salt.tikicdn.com/cache/750x750/media/catalog/producttmp/a9/01/5c/60124846def8dbffa5e02e9f53ee0bd3.png,,,,,,,,,0
277579187,simple,9235158882658,"Nắp Đậy Cống Thoát Nước Chống Mùi Hôi, Côn Trùng - Chuyên Dùng Cho Sàn Nhà Tắm, Nhà Vệ Sinh - HÀNG CHÍNH HÃNG MINIIN",1,0,visible,,"Nắp Đậy Cống Thoát Nước Chống Mùi Hôi, Côn Trùng - Chuyên Dùng Cho Sàn Nhà Tắm, Nhà Vệ SinhNắp đậy cống thoát nước chống mùi hôi và ngăn côn trùng là giải pháp hiệu quả cho các vấn đề liên quan đến ...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,29000,29000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/4b/8e/c5/d2277c33a3abb4074d8a34a283aa2eb0.png,,,,,,,,,0
275246659,simple,2655185633747,"Nệm Trải Sàn, Đệm, Topper Hàng Xuất Nhật 1Mx2M, 1M2X2M, 1M4x2M, 1M6x2M, 1M8X2M Dày 9CM Tặng Kèm Drap Nệm",1,0,visible,,"CAM KẾT: Cam kết đổi trả nếu hàng không giống mô tả và hoàn tiền 100% nếu sản phẩm lỗi.────()()()────()()()────Cấu tạo nệmLớp áo ngoài: Sử dụng sợi vải cotton dệt mật độ cao có tính kháng bụi, chống ...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,548000,700000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/40/e8/89/93d3159531ce2adbcae160f4823ade97.jpg,,,,,,,,,0
275374645,simple,9157060773345,Cốc giữ nhiệt inox 304 Elmich EL8345 dung tích 480ML - Hàng Chính Hãng,1,0,visible,,"Chất Liệu Inox 304 – Bền Bỉ và An Toàn:Thân cốc được làm từ inox 304, chất liệu chống ăn mòn và an toàn cho sức khỏeVỏ Inox Sơn Tĩnh Điện – Đẳng Cấp và Chống Trầy xước:Với lớp vỏ inox sơn tĩnh điện, s...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,149000,390000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/2b/1d/bd/5423d42a062b2355da77809294fb3cb5.png,,,,,,,,,0
275059035,simple,5983279524305,Bình giữ nhiệt Metro Cafe Tumbler LocknLock LHC4357 - Dung tích 500ml - Phủ sứ,1,0,visible,,- Bình giữ nhiệt Metro Cafe Tumbler LHC4357 LocknLock - Dung tích 500ml  - Thép không gỉ 304 phủ sứ: Sử dụng hợp vệ sinh và giữ được trọn vẹn hương vị các loại đồ uống- Miệng cốc rộng: Dễ dàng thêm đ...,,2025-12-03,taxable,,1,,,no,no,,,,,1,,436000,628000,,,,https://salt.tikicdn.com/cache/750x750/media/catalog/producttmp/97/0a/9d/f5da03a44676c0a048201c12e2aa4041.jpg,,,,,,,,,0
275570185,simple,9902790305117,Bình đựng thức ăn giữ nhiệt inox 304 Elmich EL8336 dung tích 800ml,1,0,visible,,"Đặc điểm nổi bậtThiết kế nhỏ gọn, tinh tếChất liệu inox 304 tuyệt đối an toàn cho sức khỏe.Giữ nóng hoàn hảo 10 tiếng với lớp chân không cách nhiệtBảo toàn vitamin và dưỡng chất có trong món ăn....",,2025-12-03,taxable,,1,,,no,no,,,,,1,,326000,750000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/37/b5/fe/305140da23c109ba80ef34eed7653b67.png,,,,,,,,,0
274823198,simple,8748684264070,Ổ Cắm Điện Mở Rộng Xoay 180 Độ,1,0,visible,,Đóng gói:  1 ổ điện mở rộng (3 phích cắm)️ Tính năng Ổ điện mở rộng với 3 phích cắm giúp bạn sử dụng được nhiều thiết bị hơn mà không tốn nhiều diện tích như ổ cắm thông thường. Đầu cắm có thể xoay ...,,2025-12-03,taxable,,1,,,no,no,,,,,1,,18000,18000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/87/ff/34/798e32e4e95d0c884f56f4cfd9869fad.jpg,,,,,,,,,0
274957678,simple,8267328393679,Bình giữ nhiệt Flexi Sunhouse 920 ml Sunhouse KS-TU920,1,0,visible,,"Thiết kế trẻ trung, hiện đại với quai xách tiện lợiBình giữ nhiệt Flexi Sunhouse 920 ml Sunhouse KS-TU920 có thiết kế trẻ trung với màu xanh nhẹ nhàng, kiểu dáng thon gọn kèm quai xách mềm, tiện...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,149000,190000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/0d/8e/e8/4778429f952bc242c294e675e6c09c1e.jpg,,,,,,,,,0
273247047,simple,1558233995914,Cốc giữ nhiệt inox 304 Elmich EL8309 dung tích 900ml - Hàng Chính Hãng,1,0,visible,,"Thông tin sản phẩm– Thiết kế nắp bật chắc chắn, nước ko bị đổ ra ngoài, màu sắc cá tính, phù hợp với cả 2 giới– Chất liệu inox 304 an toàn tuyệt đối cho sức khỏe.– Cách nhiệt tuyệt đối bằng chân khôn...",,2025-12-03,taxable,,1,,,no,no,,,,,1,,299000,559000,,,,https://salt.tikicdn.com/cache/750x750/media/catalog/producttmp/12/31/40/0b47be53ac828587196d966115043721.png,,,,,,,,,0
272484435,simple,2728990108038,Đồng hồ treo tường kim trôi không ồn minimalist phong cách tối giản trang trí phòng khách Bảo hành 12 tháng Deli,1,0,visible,,Đồng hồ treo tường kim trôi không ồn minimalist phong cách tối giản trang trí phòng khách Bảo hành 12 tháng DeliĐẶC ĐIÊM NỔI BẬT- Chất liệu và trang trí: Đồng hồ treo tường theo phong cách tối giản ...,,2025-12-03,taxable,,1,,,no,no,,,,,1,,199000,387000,,,,https://salt.tikicdn.com/cache/750x750/ts/product/f0/13/50/f112aaa14d6bce73a41376cff6eeabe1.jpg,,,,,,,,,0
